reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
"A harmless enough entry in the ""adorable mite tames surly masculine beast"" romantic-weeper genre, hitting all the right beats with the clink of an expertly struck cowbell.",Fresh,True,Drama,Warner Bros. Pictures,"Young and quirky Louisa ""Lou"" Clark (Emilia Clarke) moves from one job to the next to help her family make ends meet. Her cheerful attitude is put to the test when she becomes a caregiver for Will Traynor (Sam Claflin), a wealthy young banker left paralyzed from an accident two years earlier. Will's cynical outlook starts to change when Louisa shows him that life is worth living. As their bond deepens, their lives and hearts change in ways neither one could have imagined.m/me_before_youMe Before You"
"Funniest when it's still repressing itself, and only the maniacal Nicholson is allowed to let his emotions flow.",Fresh,False,Comedy,Sony Pictures Entertainment,"Dave Buznik (Adam Sandler) is usually a mild-mannered nonconfrontational guy. But after an altercation aboard an airplane, he is remanded to the care of an anger-management therapist, Dr. Buddy Rydell (Jack Nicholson), who could probably use a little anger management himself.m/1121649-anger_managementAnger Management"
"Jordan... has steel and energy in his part, and... Foxx... gives a beautifully modulated, unflashy and quietly moving performance, easily his best in at least a decade.",Fresh,True,Drama,Warner Bros. Pictures,"After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.m/just_mercyJust Mercy"
"Worthwhile, but I would have preferred a less strenuous, more patient, less 'entertaining' production, without the hallucinated laugh track and the visions of Scooby-Doo...",Fresh,False,Drama,Fox Searchlight,"""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""m/127_hours127 Hours"
"Depp and Burton's take on the Wonderland franchise is frivolous and feckless, a charming little pleasure to welcome the warmer weather.",Fresh,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
The movie is an urgent current-events thriller that falls somewhere between Syriana and the Bourne movies.,Fresh,True,"Drama, Mystery & Suspense",Warner Bros. Pictures,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.m/10009225-body_of_liesBody of Lies"
The first must-see movie of 2007.,Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
"A searing drama charged with raw, yet poignant fury.",Fresh,False,Drama,Sundance Selects,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.m/45_years45 Years"
"A naturalistic, insightful, heartbreaking film that deserves to be celebrated.",Fresh,False,Drama,Sundance Selects,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.m/45_years45 Years"
"Despite all the coy formula-flipping and compulsive jokes, what wins us over is the odd-couple chemistry of the two leads.",Fresh,False,"Action & Adventure, Comedy",Sony Pictures,"When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.m/21_jump_street_201121 Jump Street"
