text,description,review_title,verified_purchase,rating,id,product_title_parent_asin
These are beautiful!!!!,['6 - 8x10 UNFRAMED Prints'],Worth it,True,5.0,56048,"Medical Dictionary Art Set - 8x10 Vintage Anatomical Posters - Floral Wall Decor for Doctors Office, Clinic, Med Student Dorm - Shabby Chic Gift for Nurses, Physicians Assistant, PA - Unframed PhotosB082G64DRQ"
I love the letters - I even wanted less rust and they let my return and made me another one!,"['Are you looking for REAL RUSTY Numbers and Letters made from corrugated tin roofing?  Our letters make rustic wall decor elements for any room. Use our rusty galvanized metal letters in your:  log cabin living room bedroom bathroom kids room laundry room or even more!  Each galvanized piece is unique. Each piece may contain rust, nail holes, weathering and other imperfections giving each piece it\'s own unique character. How To Order Multiple Letters For ordering multiple letters, please change the quantity to the total number you want. Enter one of the letters in the required letter field. Then in the Notes section of the customization, please tell us the letters you want. For example if you want ""HOME"" enter the quantity of 4, the letter H for your letter choice, then in the notes put ""Please send HOME "" you will not get 4 H\'s but the requested HOME. If you don\'t specify in the notes with the order you WILL get 4 H\'s.  If you realize you have made a mistake please cancel and reorder with the correct notes. Optional Wall Hanger Please specify if you want the hanger added to your letter. Hangers will only hold up to 30"" tall letters. Larger letters are too heavy for such attachment. Please attach Giant letters with screws or nails.  My customer\'s satisfaction is of utmost importance to me, please contact us first before leaving feedback.Base price is for 8"" tall letters. Please use a ruler or tape measure to visualize the height before ordering. Several sizes are pictured The main picture is 16"" M and 12"" T and W.']",Great product and service,True,5.0,87307,"Rusty Tin Letters Rustic Metal Wall Decor 8"" - 36"" Galvanized Farmhouse Wedding DecorationsB018RXP4M0"
"I didn’t read the description and didn’t realize it didn’t come with a frame. I was dissapointed. However, the actual art itself was beautiful. Highly recommend, just know you’ll have to go out and buy your own frame!!","['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']",the actual art itself was beautiful. Highly recommend,True,4.0,84889,"Giraffe With Yellow Butterflies Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To FrameB016VO9P7C"
We love the pictures and look forward to buying more 😊 thanks for your service,['8x10 UNFRAMED Prints'],One satisfied customer 👍,False,5.0,64034,African American Wall Art - Black Women - Black Wall Decor - Fashion Quotes - Fashion Wall Decor - Inspirational Quotes Wall Art - Glam Wall Decor - Black Woman - Latina - Black Wall Art -High FashionB08XN1FP1Y
Loving this print and what Vintage did to produce a couple other similar prints for other cities!,"['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']",Five Stars,True,5.0,291,"Kansas City Landmarks Skyline and Typography, Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To FrameB015GKG2FA"
"The print was as picture. Nice clear, easy to read and see. I will order more as I need them. Thank you so much for your assistance.",['8x10 UNFRAMED Prints'],I recommend this company and product,True,5.0,60005,"Quotes Wall Art Poster - Unique Inspirational Gift - Home or Office Decor for World Fans, Men, Women - Motivational Room Decorations for Girl, Kids, Boy Bedroom - 8x10 Unframed printB08B6D96RQ"
"I placed these above my bed, I love the look! I put them over black wallpaper which I also purchased on Amazon. They stick/restick nicely and they have a lot of extra leaves to change up the look. I didn’t even use all the leaves.","['► THE WALL MUST BE DRY, LIGHT, SMOOTH, CLEAN, AND FREE OF DUST. IT IS NOT SUITABLE FOR THE TOO MUCH TEXTURED WALLS Floral wall decal, peony bouquet flowers removable peel and stick wall sticker INCLUDES: ► 6 Separate cut out peonies ranging in approximate sizes of 24""/61cm to 15.7""/40cm to 14.9""/38cm ► 14 Separate leaves and leaf clusters ranging in approximate sizes of 12.5""/32cm to 10.2""/26cm to 8.6""/22cm ► Quick installation – Just peel and stick – you can easily re-position if needed. ► Cut from premium self-adhesive decal material specifically designed for home decor ► Matte finish ► Removable►We strongly recommend applying the decals 3 weeks after painting.Peel and stick wall decal material may not stick to textured, newly painted, painted with acrylic paint wall ►Green guard gold certified HP Latex print quality']","Love, love, love!",True,5.0,44460,"Murwall Floral Peonies Wall Decal, Peony Bouquet Flowers Removable Peel and Stick Wall StickerB07M7PFZXV"
Love this Brand bought one other ring from them this is true to its sz plus I like this ring better then the last cqan see letters better. only thing I wish is the letters were more straight. other then that Im super happy with this purchase! &lt;3,"[""Artist hand made  .925 Sterling Silver tiny silver band (1.3mm) is handstamped with 'teeny and tiny' letters. *Individual ring - for multiple ring please add one item, go back and add 2nd *  **important, please double check on size and spelling of the names""]",happy with this purchase Love this Brand!,True,4.0,25590,Teeny Tiny Stacking Sterling Silver Ring By Hannah Design Personalized RingB074R7BSN2
"Material stretches easily, so ended up having to wrap it around a few times to get it secure.  I'm happy with it after doing that.  No more falling towels!","['Functional and soft, these towel hangers are a great way to conveniently display your kitchen towels while allowing you to remove the towels for laundering. Great for every day use as well as displaying those special seasonal towels.  Hang them from your stove, refrigerator handle, dishwasher, or anywhere that you may need.  Simply unbutton your towel hanger, wrap around the handle you wish to display it on and button back. place the towel in the ring at the bottom. The ring is designed to accommodate a wide variety of sizes of kitchen and hand towels.  Each towel holder is made from acrylic yarn, acrylic ring and a little wood button, proudly displaying that the item is ""Handmade with Love"". The towel holder is approximately 10.5 inches tall when open and 7 inches tall when buttoned. The ring section of the towel holder is 3.75 inches across. To care for your holder simple wash in cold water with like colors and line or tumble dry.']",No more falling towels!,True,4.0,72636,Crochet Hanging Dish Towel Holder (Heather Grey)B09WJLP3RP
Don't waste your money! The letters were very hard to peel off backing because they are so large. They also don't stick great to my son's wall. Some of the letters keep falling off the wall. I am disappointed because they could look so cool if they stayed up on the wall!,"[""Complete your gamer room with this awesome 3d looking name decal. Each name is custom designed to look 3d and fun. The height will vary because the length of each name is different but don't worry, it will look proportional. Mock up sent upon request. While the decal may have features that look like something from a well known game where you mine and craft, the unique designs and artwork are individually designed for each name by a designer that is not associated, affiliated, endorsed, or sponsored by any game or company.""]",Don't Stay on Wall,True,1.0,83779,Personalized Gamer Name decal 3D Looking Gamer Room Wall Vinyl Decal StickerB016CEAEMG
